G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28.0,1.0,5,366.0,2.7,6.8,0.391,0,0,0,2.7,6.8,0.391,4.3,5.8,0.746,4.2,6.8,11,0,0.8,2.5,1.8,5.8,9.6
3.0,0.0,5,7.0,0,5.1,0,0,0,0,0,5.1,0,0,0,0,0,5.1,5.1,0,0,5.1,5.1,5.1,0
25.0,1.0,5,359.0,2.7,6.8,0.397,0,0,0,2.7,6.8,0.397,4.4,5.9,0.746,4.3,6.8,11.1,0,0.8,2.4,1.7,5.8,9.8
45.0,3.0,3,516.0,3.3,9.2,0.356,1.6,4.4,0.365,1.7,4.8,0.348,1.5,2,0.724,0.6,4.3,4.9,2.1,1,1,1.6,5,9.6
57.0,4.0,3,780.0,6.8,15.1,0.45,0,0.1,0,6.8,15,0.454,2.2,2.7,0.81,3,3.6,6.6,1.8,0.7,0.4,2.1,4.3,15.7
27.0,0.0,3,300.0,7.6,16.6,0.457,0,0,0,7.6,16.6,0.457,1.9,2.3,0.842,3.1,4.4,7.6,2,1.2,0.8,2.9,5.8,17
8.0,0.0,3,83.0,4.8,11.7,0.407,0,0,0,4.8,11.7,0.407,3,3.9,0.778,3.5,2.6,6.1,1.7,0.4,0,0,3.9,12.6
22.0,4.0,3,397.0,6.6,14.7,0.451,0,0.3,0,6.6,14.4,0.459,2.2,2.7,0.8,2.7,3.3,6,1.5,0.4,0.1,1.9,3.3,15.4
58.0,7.0,3,720.0,3.6,8.1,0.444,0.1,0.2,0.5,3.5,7.9,0.443,1.5,2.3,0.652,3.3,4.4,7.8,1.2,1.7,0.9,1.4,4.5,8.8
78.0,78.0,1,2612.0,5.5,11.6,0.47,1.4,3.5,0.405,4,8.1,0.498,3.2,3.5,0.916,0.8,2.4,3.2,9.5,0.9,0.1,2.9,1.9,15.5
82.0,82.0,5,2353.0,5,10.7,0.469,0,0,0,5,10.7,0.469,0.8,1.7,0.474,3.9,5.8,9.7,1.7,0.8,2.5,1.6,3.8,10.9
64.0,25.0,3,1245.0,3.1,8,0.391,0.1,0.5,0.105,3.1,7.4,0.412,1,1.3,0.783,1.9,2.6,4.5,2.1,0.7,0.5,1.6,3.2,7.3
66.0,0.0,1,847.0,3.4,9.2,0.369,0.9,2.5,0.345,2.6,6.8,0.377,2.3,3,0.761,0.4,2.3,2.8,5.1,1.9,0.2,2.7,2.2,9.9
30.0,0.0,1,401.0,2.4,7.8,0.31,0.7,2.1,0.348,1.7,5.7,0.297,1.6,2.2,0.75,0.2,2.5,2.7,4.3,1.4,0.2,2.7,1.4,7.2
36.0,0.0,1,446.0,4.3,10.5,0.408,1,2.8,0.343,3.3,7.7,0.432,2.9,3.8,0.766,0.6,2.2,2.8,5.9,2.3,0.2,2.7,2.8,12.4
